Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2025.07.15 19:05:18,192686616,XAUUSD,buy,0.05,3 326.21,3 324.00,3 340.68,2025.07.15 19:08:40,3 323.93,0.00,0.00,- 11.40,,
2025.07.15 19:22:33,192690258,XAUUSD,buy,0.05,3 323.39,3 327.43,3 335.00,2025.07.15 20:42:19,3 327.42,0.00,0.00, 20.15,,
2025.07.15 20:46:00,192705114,XAUUSD,buy,0.05,3 328.17,3 328.17,,2025.07.15 21:07:27,3 328.14,0.00,0.00,- 0.15,,
2025.07.15 20:53:13,192705304,XAUUSD,sell,0.05,3 325.99,,,2025.07.15 20:54:15,3 327.44,0.00,0.00,- 7.25,,
2025.07.15 21:23:30,192708062,XAUUSD,buy,0.05,3 326.21,3 326.22,,2025.07.15 21:28:22,3 326.18,0.00,0.00,- 0.15,,
2025.07.15 21:37:04,192707265,XAUUSD,buy,0.05,3 329.45,3 330.79,3 358.00,2025.07.16 04:47:31,3 330.75,0.00,- 2.62, 6.50,,
2025.07.15 23:45:05,192712409,XAUUSD,sell,0.05,3 326.60,,,2025.07.15 23:45:39,3 326.84,0.00,0.00,- 1.20,,
2025.07.16 06:01:56,192749777,XAUUSD,sell,0.05,3 327.75,3 330.40,,2025.07.16 06:06:03,3 330.45,0.00,0.00,- 13.50,,
2025.07.16 06:10:30,192751096,XAUUSD,sell,0.05,3 328.14,3 329.04,,2025.07.16 06:16:09,3 329.12,0.00,0.00,- 4.90,,
2025.07.16 06:22:49,192752147,XAUUSD,sell,0.05,3 331.59,3 338.15,3 311.00,2025.07.16 07:31:57,3 338.22,0.00,0.00,- 33.15,,
2025.07.16 06:45:36,192753196,XAUUSD,buy,0.05,3 335.26,3 333.00,3 334.30,2025.07.16 06:50:46,3 334.38,0.00,0.00,- 4.40,,
2025.07.16 07:18:06,192756874,XAUUSD,buy,0.05,3 335.07,,3 337.00,2025.07.16 07:20:13,3 333.95,0.00,0.00,- 5.60,,
2025.07.16 07:32:59,192759197,XAUUSD,sell,0.02,3 336.74,3 336.74,,2025.07.16 14:16:58,3 336.76,0.00,0.00,- 0.04,,
2025.07.16 07:54:43,192760644,XAUUSD,buy,0.02,3 338.18,3 338.18,,2025.07.16 08:04:43,3 338.30,0.00,0.00, 0.24,,
2025.07.16 11:10:46,192772761,XAUUSD,buy,0.02,3 341.07,3 339.80,3 345.00,2025.07.16 11:16:26,3 339.80,0.00,0.00,- 2.54,,
2025.07.16 14:43:28,192807451,XAUUSD,sell,0.02,3 337.81,3 336.19,,2025.07.16 16:01:50,3 336.25,0.00,0.00, 3.12,,
2025.07.16 16:19:17,192836264,XAUUSD,sell,0.02,3 339.21,,,2025.07.16 16:19:30,3 339.05,0.00,0.00, 0.32,,
2025.07.16 16:40:53,192842488,XAUUSD,sell,0.02,3 330.04,3 326.50,,2025.07.16 16:47:53,3 326.57,0.00,0.00, 6.94,,
2025.07.16 16:48:42,192853659,XAUUSD,sell,0.01,3 324.69,3 324.69,,2025.07.16 16:57:33,3 324.77,0.00,0.00,- 0.08,,
2025.07.16 17:54:10,192839786,XAUUSD,sell,0.02,3 330.48,,,2025.07.16 18:03:38,3 344.24,0.00,0.00,- 27.52,,
